Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls
65,415,No,No,0,136.1,112,23.14,272.9,96
35,408,No,No,0,149.3,113,25.38,242.2,122
88,408,No,No,0,65.4,97,11.12,168.2,76
65,415,No,No,0,213.4,111,36.28,234.5,94
123,415,No,No,0,206.9,85,35.17,244.7,78
126,408,No,Yes,27,186.2,78,31.65,189.6,83
104,415,No,Yes,23,280.2,136,47.63,220.5,92
45,415,No,Yes,22,196.6,84,33.42,313.2,92
93,408,Yes,No,0,312,109,53.04,129.4,100
63,415,Yes,Yes,36,199,110,33.83,291.3,111
100,415,No,No,0,203.1,96,34.53,217,126
53,415,No,No,0,168.8,97,28.7,220.3,87
92,415,Yes,No,0,173.1,140,29.43,240.3,105
139,510,No,No,0,134.4,106,22.85,211.3,98
110,408,No,Yes,40,202.6,103,34.44,118.8,128
110,408,No,No,0,74.5,117,12.67,200.8,98
215,510,No,No,0,83.6,148,14.21,120.9,91
73,415,No,No,0,192.2,86,32.67,168.6,116
138,510,No,No,0,220.2,89,37.43,88.3,125
137,415,Yes,No,0,135.1,95,22.97,134.1,102
36,415,No,No,0,253.4,77,43.08,182.4,151
85,408,No,No,0,225,81,38.25,176.9,63
108,408,No,No,0,198.5,99,33.75,267.8,60
22,408,No,No,0,110.3,107,18.75,166.5,93
107,415,No,Yes,37,60,102,10.2,102.2,80
51,510,No,No,0,214.8,94,36.52,149.7,58
94,408,No,No,0,181.8,85,30.91,202.4,98
119,510,No,Yes,23,154,114,26.18,278,137
33,415,No,Yes,29,157.4,99,26.76,117.9,80
106,415,No,No,0,207.9,91,35.34,172,109
82,408,No,No,0,207,90,35.19,232.9,83
86,510,No,Yes,41,119,101,20.23,230,134
97,415,Yes,No,0,143.7,117,24.43,273,82
106,408,No,Yes,32,165.9,126,28.2,216.5,93
108,510,No,No,0,138.6,122,23.56,172.3,117
114,415,No,No,0,84.7,118,14.4,249.9,86
92,408,Yes,No,0,62.6,111,10.64,180.6,126
59,510,No,No,0,155.2,79,26.38,235.3,123
24,510,No,Yes,25,164.9,110,28.03,209.3,105
151,408,No,No,0,134.5,88,22.87,143.1,112
117,415,No,No,0,143.3,103,24.36,211.3,108
78,510,No,No,0,168.3,110,28.61,221.2,73
155,408,No,No,0,262.4,55,44.61,194.6,113
114,510,No,Yes,30,206.2,79,35.05,260,91
114,510,No,Yes,28,225.8,94,38.39,193,117
119,408,No,No,0,138.3,89,23.51,170.5,78
64,510,No,Yes,48,94.4,104,16.05,136.2,101
118,408,Yes,No,0,160,123,27.2,175.4,96
101,415,No,No,0,206.6,105,35.12,224.9,117
117,415,No,No,0,134.7,121,22.9,180,83
49,415,No,Yes,28,214.4,78,36.45,235.2,100
139,415,No,No,0,192.8,104,32.78,234.4,96
92,408,No,Yes,28,151.1,90,25.69,194.8,79
83,415,No,No,0,221.4,103,37.64,231.8,103
148,510,Yes,No,0,218.9,88,37.21,208,85
144,408,No,Yes,48,189.8,96,32.27,123.4,67
131,415,No,Yes,25,192.7,85,32.76,225.9,105
146,510,Yes,No,0,204.4,135,34.75,219.1,90
143,415,No,No,0,172.3,97,29.29,174,108
81,415,No,No,0,198.4,93,33.73,210.9,108
48,415,No,Yes,37,211.7,115,35.99,159.9,84
86,415,No,Yes,28,221.6,74,37.67,288.4,100
71,415,No,No,0,197.9,108,33.64,181.5,109
145,408,No,Yes,24,147.5,90,25.08,175.7,108
137,510,No,No,0,206.4,122,35.09,128,102
137,408,No,No,0,205.9,88,35,209.3,86
167,510,No,No,0,207.6,88,35.29,132.4,63
89,510,No,No,0,303.9,95,51.66,260.9,114
199,415,No,Yes,34,230.6,121,39.2,219.4,99
132,510,No,No,0,99.5,110,16.92,129.1,80
94,510,No,No,0,177.1,112,30.11,194,112
96,415,No,Yes,37,172.7,93,29.36,120.1,116
96,510,No,Yes,18,172.7,86,29.36,133.4,113
166,510,No,No,0,204.2,115,34.71,179.9,152
74,415,No,No,0,85.7,83,14.57,247.7,67
36,415,No,No,0,157.6,117,26.79,184.3,58
113,415,No,No,0,215.5,129,36.64,218.7,117
94,415,No,No,0,181.5,98,30.86,199.9,88
67,415,No,No,0,171.7,80,29.19,110.4,81
127,415,No,No,0,266.6,106,45.32,264.8,168
121,408,No,No,0,170.4,108,28.97,350.5,68
158,415,No,No,0,158,106,26.86,292.5,114
136,510,No,No,0,92,117,15.64,253.6,77
196,415,No,No,0,234,109,39.78,249.5,114
113,415,No,No,0,272.1,111,46.26,268.5,118
122,408,No,No,0,296.4,99,50.39,214.8,89
112,510,No,No,0,194.4,101,33.05,190.3,82
209,415,No,No,0,227.2,128,38.62,258.4,92
62,415,No,No,0,248.7,109,42.28,220,118
110,415,No,Yes,38,236.3,102,40.17,195.9,112
16,510,No,No,0,205.6,69,34.95,169.5,93
73,408,No,No,0,94.1,136,16,280.3,122
128,408,No,No,0,125.2,99,21.28,205.4,107
39,408,No,No,0,60.4,158,10.27,306.2,120
103,415,No,Yes,28,121,105,20.57,270.4,100
119,415,No,Yes,29,117.8,66,20.03,256.8,114
173,510,No,Yes,21,232.4,96,39.51,211.9,118
128,510,Yes,Yes,32,223.5,81,38,188.8,74
86,510,No,No,0,176.3,79,29.97,259.2,97
114,415,No,Yes,32,125.2,79,21.28,177.8,105
104,408,No,No,0,138.7,107,23.58,256.9,113
148,415,No,No,0,86.3,134,14.67,246.6,92
129,408,No,No,0,207,91,35.19,154.9,121
100,510,No,Yes,30,58.8,104,10,219.5,107
121,408,No,Yes,35,68.7,95,11.68,209.2,69
143,408,No,Yes,33,239.2,109,40.66,235.5,112
76,510,No,No,0,198.3,130,33.71,217.1,86
158,510,No,No,0,205.2,97,34.88,240.6,77
116,510,No,No,0,192.1,98,32.66,312.9,135
54,415,No,No,0,272.6,83,46.34,248.7,74
86,415,No,No,0,128.3,121,21.81,197.1,93
108,510,No,No,0,169.6,99,28.83,264.1,87
66,510,No,No,0,201.3,95,34.22,152.8,66
151,408,No,Yes,17,214.7,97,36.5,138.5,90
99,510,No,No,0,169.2,70,28.76,271.5,77
55,415,No,No,0,194.1,121,33,176.6,110
77,510,No,No,0,233.8,104,39.75,266.5,94
78,408,No,No,0,225.1,67,38.27,199.2,127
89,415,No,No,0,213,63,36.21,176.6,71
101,415,No,No,0,183.9,115,31.26,255.9,101
44,415,No,Yes,34,221.8,105,37.71,161.7,85
98,408,No,Yes,21,64.6,98,10.98,176.1,86
64,510,No,Yes,37,154.6,92,26.28,83.4,103
141,415,No,No,0,260.2,131,44.23,179.2,120
81,415,No,Yes,33,161.6,117,27.47,123,90
162,510,No,No,0,220.6,117,37.5,155.2,121
83,415,No,Yes,41,155.9,122,26.5,162.3,107
100,510,No,No,0,107,63,18.19,105.7,67
59,510,No,No,0,182.5,104,31.03,204.7,95
179,415,Yes,Yes,38,220.1,78,37.42,234.3,71
79,408,No,No,0,152.2,112,25.87,177.2,132
117,415,No,No,0,181.5,95,30.86,205.1,88
64,408,Yes,No,0,236.2,77,40.15,218.6,85
31,415,No,No,0,166.1,105,28.24,79.3,93
124,408,Yes,No,0,244.6,89,41.58,188.8,80
122,408,No,Yes,23,134.2,85,22.81,227.3,132
37,408,Yes,Yes,39,149.7,122,25.45,211.1,75
90,408,No,Yes,29,150.1,109,25.52,264.7,103
159,408,Yes,No,0,257.1,53,43.71,312.2,127
148,415,No,No,0,124.4,83,21.15,179.7,81
39,415,No,Yes,36,141.7,121,24.09,232.3,113
77,408,No,No,0,230,87,39.1,103.2,138
194,408,No,No,0,162.3,88,27.59,213.7,118
154,415,No,No,0,350.8,75,59.64,216.5,94
112,415,No,No,0,193.3,96,32.86,264.1,123
45,415,No,No,0,78.2,127,13.29,253.4,108
132,415,No,No,0,83.4,110,14.18,232.2,137
128,415,No,No,0,195.6,99,33.25,267.8,120
135,415,No,No,0,201.8,81,34.31,225,114
56,408,No,No,0,197,110,33.49,222.8,102
151,415,Yes,No,0,218,57,37.06,114.4,88
32,415,No,No,0,164.8,98,28.02,229.9,96
90,415,No,No,0,179.2,77,30.46,210.7,99
87,415,No,Yes,21,214,113,36.38,180,114
138,415,No,No,0,170.5,87,28.99,118.2,116
79,408,No,No,0,205.7,123,34.97,214.5,108
95,415,Yes,No,0,165.5,84,28.14,286.2,112
127,415,No,No,0,221,100,37.57,160.7,113
137,510,No,No,0,242.1,118,41.16,191,93
97,415,No,No,0,151.6,107,25.77,155.4,96
149,415,Yes,No,0,176.2,87,29.95,145,81
117,415,Yes,Yes,22,196,82,33.32,322.7,82
84,408,No,No,0,159.5,125,27.12,247.1,90
137,415,No,No,0,230.2,113,39.13,220.4,79
99,415,No,No,0,146.7,64,24.94,274,99
54,510,No,No,0,210.5,102,35.79,204.5,83
85,415,No,No,0,102,95,17.34,270.2,139
150,510,No,No,0,126,99,21.42,238.5,73
43,415,No,No,0,168.4,125,28.63,243.8,89
35,415,No,No,0,105.6,129,17.95,258.2,129
98,415,No,No,0,206.5,92,35.11,176.2,152
112,510,No,No,0,217.1,76,36.91,205.2,100
16,510,No,No,0,229.6,78,39.03,205.7,108
98,415,No,Yes,22,278.3,89,47.31,93.4,143
84,408,No,No,0,138.6,102,23.56,199,93
94,415,No,No,0,234.4,103,39.85,279.3,109
84,510,No,No,0,181.5,129,30.86,130.7,112
66,415,No,No,0,167.3,91,28.44,230,68
98,415,No,Yes,31,121,105,20.57,218.9,98
74,415,No,No,0,221.1,124,37.59,110.8,94
96,408,No,Yes,26,145.8,108,24.79,192.2,89
119,510,No,No,0,222.8,122,37.88,163.2,107
73,415,No,No,0,183.4,80,31.18,242,115
92,415,Yes,No,0,264.3,91,44.93,160.9,115
21,415,No,No,0,146,78,24.82,109.7,79
122,510,No,No,0,157.1,134,26.71,184.9,122
133,510,Yes,No,0,127.3,108,21.64,251.3,81
145,415,No,No,0,187.9,110,31.94,197,117
25,408,No,No,0,178.8,90,30.4,141.2,72
64,415,No,No,0,97.2,80,16.52,186.2,90
85,415,No,No,0,259.8,85,44.17,242.3,117
126,415,No,No,0,256.5,112,43.61,199.5,90
76,415,No,No,0,169.5,77,28.82,124,87
113,415,No,No,0,239.7,47,40.75,282.9,110
224,510,Yes,No,0,171.5,99,29.16,160,103
117,408,No,No,0,239.9,84,40.78,174.8,106
128,408,No,Yes,34,142.3,73,24.19,194.8,79
115,415,No,No,0,184.1,98,31.3,327,73
141,415,No,Yes,28,206.9,126,35.17,264.4,126
51,510,No,No,0,259.9,114,44.18,176.2,94
100,415,No,No,0,203.8,122,34.65,283.1,76
96,415,No,Yes,45,248.8,124,42.3,140.3,77
112,415,No,Yes,16,221.6,110,37.67,130.2,123
129,510,Yes,No,0,192.9,131,32.79,185.5,101
163,415,No,No,0,122.4,129,20.81,113.4,108
67,415,No,Yes,40,104.9,65,17.83,216.3,93
140,408,No,No,0,173.2,91,29.44,196.8,106
49,510,No,No,0,119.4,69,20.3,273.3,92
46,510,No,No,0,250.3,100,42.55,260.6,90
148,415,No,No,0,178.3,98,30.31,282.6,110
112,510,No,No,0,243.4,77,41.38,182.1,97
78,415,No,No,0,155,106,26.35,175.3,101
61,408,No,Yes,31,288.7,101,49.08,203.8,102
58,510,No,Yes,29,240.4,80,40.87,118.9,91
155,415,No,No,0,190.3,123,32.35,301.3,96
100,510,No,No,0,278,76,47.26,176.7,74
113,510,No,No,0,155,93,26.35,330.6,106
81,415,No,No,0,153.5,99,26.1,197.6,102
135,510,No,Yes,27,273.4,141,46.48,154,99
99,408,No,No,0,155.3,93,26.4,265.7,95
59,510,No,Yes,29,133.1,114,22.63,221.2,82
135,510,No,No,0,246.8,129,41.96,187.8,121
85,408,Yes,No,0,165.4,107,28.12,196,126
70,510,No,No,0,59.5,103,10.12,257.2,106
88,510,No,No,0,138.3,116,23.51,236,138
55,510,No,No,0,286.7,100,48.74,134.4,121
75,415,No,No,0,117.3,114,19.94,201.1,61
79,510,No,Yes,21,264.3,79,44.93,202.8,118
85,408,No,No,0,127.9,107,21.74,271.2,124
86,408,No,Yes,23,225.5,107,38.34,246.3,105
91,510,No,No,0,149,115,25.33,245.3,105
149,415,No,Yes,20,198.9,77,33.81,274,88
97,408,No,No,0,256.4,125,43.59,273.9,100
88,415,No,No,0,264.8,124,45.02,245.4,112
60,415,No,No,0,98.2,88,16.69,180.5,69
54,408,No,No,0,159.8,99,27.17,264,64
11,415,No,Yes,28,190.6,86,32.4,220.1,122
109,415,No,No,0,184,120,31.28,120.4,119
90,415,No,No,0,261.8,128,44.51,220.6,104
115,408,No,No,0,147.9,109,25.14,228.4,117
144,415,No,Yes,18,106.4,109,18.09,108.1,113
91,408,No,No,0,133.7,75,22.73,195.3,87
105,415,No,Yes,23,193.5,85,32.9,220.2,90
71,415,Yes,No,0,178.2,113,30.29,167.8,94
132,510,No,Yes,36,226.2,103,38.45,181.6,125
112,415,No,No,0,170.4,103,28.97,200.2,71
86,415,No,Yes,32,70.9,163,12.05,166.7,121
41,510,No,Yes,34,194.4,63,33.05,254.9,110
44,415,No,No,0,240.3,146,40.85,164.6,83
78,408,No,No,0,75,116,12.75,248.7,87
149,408,No,No,0,69.1,117,11.75,136.3,100
72,510,No,Yes,33,96.6,59,16.42,315.4,98
139,415,No,Yes,20,214.6,101,36.48,235.1,132
74,510,No,No,0,148.5,111,25.25,146.5,42
50,510,No,No,0,258.1,106,43.88,161.4,106
141,510,No,Yes,23,149.7,112,25.45,162.5,118
140,408,No,No,0,149.8,134,25.47,164.4,98
99,408,No,No,0,190.4,102,32.37,158.1,107
166,408,No,No,0,181.4,108,30.84,253.8,54
124,408,No,No,0,151.1,123,25.69,187.4,104
74,415,No,No,0,155.7,116,26.47,173.7,63
117,510,No,No,0,149.9,95,25.48,256.1,110
85,510,No,No,0,222.3,132,37.79,231.5,101
36,415,No,Yes,16,149.4,111,25.4,131.8,113
102,510,Yes,No,0,233.8,103,39.75,221.6,131
76,415,No,No,0,204.2,100,34.71,292.6,139
165,510,No,No,0,242.9,126,41.29,209.8,65
130,415,No,No,0,150.4,119,25.57,230.5,99
78,415,No,No,0,208.9,119,35.51,252.4,132
55,415,Yes,No,0,191.9,91,32.62,256.1,110
92,415,Yes,No,0,130.7,113,22.22,260.6,122
129,415,No,Yes,33,119.6,104,20.33,278.7,88
18,408,No,No,0,273.6,93,46.51,114.6,116
161,415,Yes,No,0,156.1,114,26.54,180.3,63
93,415,No,Yes,36,178.7,134,30.38,178.6,102
144,415,No,No,0,177.5,93,30.18,287.4,75
75,408,Yes,No,0,211.3,61,35.92,105.6,119
95,415,No,No,0,175.2,91,29.78,244.4,109
126,415,No,Yes,23,114.3,102,19.43,190.3,103
124,415,No,Yes,28,251.4,104,42.74,225.1,89
93,415,Yes,No,0,216.9,61,36.87,207.4,120
109,415,Yes,Yes,26,217.2,138,36.92,145.5,111
80,510,No,No,0,206.3,97,35.07,154.9,98
41,415,No,No,0,159.3,66,27.08,125.9,75
136,415,No,Yes,31,143.1,88,24.33,236.6,65
92,415,No,No,0,154,122,26.18,329.8,88
143,408,No,Yes,24,186.6,69,31.72,222,116
118,415,No,Yes,26,170.8,114,29.04,199.5,125
193,408,No,Yes,17,124,102,21.08,202.9,81
73,415,No,No,0,198.3,94,33.71,279.3,101
62,408,No,No,0,172.8,101,29.38,204.8,97
30,415,No,Yes,30,217.4,74,36.96,213.8,86
60,408,Yes,Yes,29,265.9,113,45.2,215.8,94
148,510,No,Yes,14,93.6,137,15.91,193.8,72
96,510,No,No,0,98.2,100,16.69,307.2,88
52,408,No,No,0,214.7,68,36.5,158.6,138
87,415,No,No,0,168.2,92,28.59,224.7,100
41,408,No,No,0,202.9,97,34.49,153.8,104
112,415,No,No,0,261.4,108,44.44,154.5,102
88,510,No,No,0,73.3,86,12.46,161.4,82
122,408,No,Yes,27,253.7,84,43.13,229.2,109
61,408,No,No,0,45,108,7.65,151.3,74
87,510,No,No,0,231.3,105,39.32,171.7,108
176,408,No,No,0,47.4,125,8.06,167.8,90
30,510,No,No,0,227.4,88,38.66,182.5,100
